Date,BOGMBASE,Money Base Change,DPRIME,GDP,SPIndex,Oil,CPI.U,GoldChange,
1960-01-01,50700,1.807228916,5,0.87812836,-0.0361,0,-1.193421951,,
1960-02-01,49600,-2.169625247,5,-0.09641073,-0.0108,0,1.20662205,,
1960-03-01,49500,-0.201612903,5,-0.09641073,0.0158,0,0,,
1960-04-01,49700,0.404040404,5,-0.09641073,-0.0062,0,4.907020753,,
1960-05-01,49700,0,5,0.277928696,0.0399,0,1.20662205,,
1960-06-01,50000,0.60362173,5,0.277928696,-0.022,0,1.20662205,,
1960-07-01,50500,1,5,0.277928696,0.0149,0,-2.373775211,,
1960-08-01,50300,-0.396039604,5,-0.33143454,-0.0272,0,2.426576795,,
1960-09-01,49900,-0.795228628,4.5,-0.33143454,-0.0167,0,0,,
1960-10-01,50100,0.400801603,4.5,-0.33143454,0.0354,0,6.167781186,,
1960-11-01,50300,0.399201597,4.5,0.29660346,0.0269,0,1.20662205,,
1960-12-01,49800,-0.994035785,4.5,0.29660346,0.0543,0,1.20662205,,
1961-01-01,49100,-1.40562249,4.5,0.29660346,0.0437,0,1.20662205,,
1961-02-01,48400,-1.425661914,4.5,0.639730666,0.034,0,0,,
1961-03-01,48400,0,4.5,0.639730666,0.0292,0,0,,
1961-04-01,48500,0.20661157,4.5,0.639730666,0.0126,0,-1.193421951,,
1961-05-01,48500,0,4.5,0.721929453,-0.0108,0,1.20662205,,
1961-06-01,48900,0.824742268,4.5,0.721929453,-0.0003,0,0,,
1961-07-01,49200,0.613496933,4.5,0.721929453,0.0384,0,3.659998029,,
1961-08-01,49300,0.203252033,4.5,0.754600375,-0.0054,0,1.20662205,,
1961-09-01,49600,0.60851927,4.5,0.754600375,0.0134,0,1.20662205,,
1961-10-01,50000,0.806451613,4.5,0.754600375,0.0477,0,0,,
1961-11-01,50500,1,4.5,0.763516199,0.0116,0,0,,
1961-12-01,51300,1.584158416,4.5,0.763516199,-0.0349,0,1.20662205,,
1962-01-01,50600,-1.364522417,4.5,0.763516199,0.0191,0,1.20662205,,
1962-02-01,49800,-1.581027668,4.5,0.355238301,0.0034,0,2.426576795,,
1962-03-01,50000,0.401606426,4.5,0.355238301,-0.0294,0,2.426576795,,
1962-04-01,50400,0.8,4.5,0.355238301,-0.0719,0,1.20662205,,
1962-05-01,50500,0.198412698,4.5,0.478579299,-0.1141,0,1.20662205,,
1962-06-01,50900,0.792079208,4.5,0.478579299,0.0272,0,-1.193421951,,
1962-07-01,51300,0.785854617,4.5,0.478579299,0.0302,0,0,,
1962-08-01,51200,-0.194931774,4.5,0.177727499,-0.0059,0,2.426576795,,
1962-09-01,51300,0.1953125,4.5,0.177727499,-0.0286,0,6.167781186,,
1962-10-01,51600,0.584795322,4.5,0.177727499,0.072,0,-1.193421951,,
1962-11-01,51300,-0.581395349,4.5,0.508720552,0.0462,0,0,,
1962-12-01,52300,1.949317739,4.5,0.508720552,0.0415,0,0,,
1963-01-01,51600,-1.338432122,4.5,0.508720552,0.016,0,2.426576795,,
1963-02-01,51000,-1.162790698,4.5,0.431376717,-0.0011,0,1.20662205,,
1963-03-01,51200,0.392156863,4.5,0.431376717,0.0498,0,1.20662205,,
1963-04-01,51500,0.5859375,4.5,0.431376717,0.0227,0,-1.193421951,,
